acc_bits,dot_depth,growth_bits,internal_overflow_avg,kernel,mac_depth,pre_scale_bits,rel_rmse,risk,rmse,rounding_mode,sat_count_avg,size,snr_db
35,8,3,0.0,MM,,0,0.15689765353541268,FAIL,0.09842182502797629,rtl_bias,6.24,8x8,17.8202440546092
35,8,3,0.0,MM,,0,0.1568978886029339,FAIL,0.09842193821030612,symmetric,6.24,8x8,17.775098246109163
40,8,3,0.0,MM,,1,0.0001641460728900293,SAFE,9.843327496275235e-05,symmetric,0.0,8x8,75.76569320019775
35,16,4,0.0,MM,,0,0.3166088412444267,FAIL,0.27078861714699376,rtl_bias,61.87,16x16,10.02430428707147
35,16,4,0.0,MM,,0,0.31660884201929873,FAIL,0.2707886178024364,symmetric,61.87,16x16,10.024304265322783
40,16,4,0.0,MM,,1,0.00012239559458430974,SAFE,0.00010410750325047867,symmetric,0.0,16x16,78.26277024311848
35,32,5,0.0,MM,,0,0.4639510285452459,FAIL,0.5579344066865054,rtl_bias,414.49,32x32,6.675268506421861
35,32,5,0.0,MM,,0,0.4639510287578688,FAIL,0.557934406940842,symmetric,414.49,32x32,6.675268502420322
40,32,5,0.0,MM,,1,0.005756435516953148,WARNING,0.006987142696129749,symmetric,0.84,32x32,60.85547866973204
35,64,6,0.0,MM,,0,0.5966643851419945,FAIL,1.018487545015505,rtl_bias,2282.88,64x64,4.48581565532355
35,64,6,0.0,MM,,0,0.5966643852005072,FAIL,1.0184875451152735,symmetric,2282.92,64x64,4.485815654471223
40,64,6,0.0,MM,,1,0.06366705591900523,FAIL,0.10875275031937333,symmetric,79.28,64x64,23.98507135985466
35,,7,0.0,FIR,128,0,0.22156556261854896,FAIL,0.152078794391021,rtl_bias,277.66,128,13.132083347460487
35,,7,0.0,FIR,128,0,0.2215655646547356,FAIL,0.15207879576681094,symmetric,277.66,128,13.132083264545695
40,,7,0.0,FIR,128,1,0.00020805600450281704,SAFE,0.00014189922327556456,symmetric,0.0,128,73.65037571498861
35,,8,0.0,FIR,256,0,0.37233400272064365,FAIL,0.36069907110875676,rtl_bias,540.22,256,8.588973987478193
35,,8,0.0,FIR,256,0,0.37233400317096144,FAIL,0.3606990715420165,symmetric,540.26,256,8.588973976880363
40,,8,0.0,FIR,256,1,0.0005650705284021077,SAFE,0.000558674777075325,symmetric,0.06,256,73.39413282197079
35,,4,0.0,CONV2D,9,0,9.2278708183455e-05,SAFE,1.6443566930999733e-05,rtl_bias,0.0,"32x32, K=3x3, Cin=1",80.81742707993304
35,,4,0.0,CONV2D,9,0,0.0001527139669742877,SAFE,2.7074891829550945e-05,symmetric,0.0,"32x32, K=3x3, Cin=1",76.4795983442946
40,,4,0.0,CONV2D,9,1,0.0005516219734891284,SAFE,9.782763168172949e-05,symmetric,0.0,"32x32, K=3x3, Cin=1",65.29417174372655
35,,5,0.0,CONV2D,25,0,0.0044910844915809515,WARNING,0.001481621595011727,rtl_bias,0.8,"32x32, K=5x5, Cin=1",64.94473276090879
35,,5,0.0,CONV2D,25,0,0.004507244855045976,WARNING,0.0014861172326848802,symmetric,0.8,"32x32, K=5x5, Cin=1",63.59443066181576
40,,5,0.0,CONV2D,25,1,0.0003624747964271344,SAFE,0.00010608178496905874,symmetric,0.0,"32x32, K=5x5, Cin=1",68.86450802977056
35,,8,0.0,CONV2D,144,0,0.24726598420354837,FAIL,0.1809970193977382,rtl_bias,154.26666666666668,"32x32, K=3x3, Cin=16",12.165415171543678
35,,8,0.0,CONV2D,144,0,0.24726598565207356,FAIL,0.1809970204477603,symmetric,154.26666666666668,"32x32, K=3x3, Cin=16",12.16541511962627
40,,8,0.0,CONV2D,144,1,0.00020305463556679937,SAFE,0.00014811488708428675,symmetric,0.0,"32x32, K=3x3, Cin=16",73.85467799176129
35,,9,0.0,CONV2D,400,0,0.4627053020638507,FAIL,0.5542437456569993,rtl_bias,317.8333333333333,"32x32, K=5x5, Cin=16",6.697151696447105
35,,9,0.0,CONV2D,400,0,0.4627053022656493,FAIL,0.5542437458980582,symmetric,317.8333333333333,"32x32, K=5x5, Cin=16",6.697151692652467
40,,9,0.0,CONV2D,400,1,0.004100960809953539,WARNING,0.004972517455655209,symmetric,0.7333333333333333,"32x32, K=5x5, Cin=16",62.125746851048845
