fft_points,clusters,total_cycles,kernel_cycles,configuration_cycles,mapped_pe_arithmetic_util,whole_chip_pe_arithmetic_util,mapped_cordic_util,mapped_teu_util,mapped_dma_engine_util,mapped_hazard_stall,throughput,numeric_snr_vs_float_db,bitexact_match,prior_stagewise_cycles,prior_stagewise_util,speedup_vs_prior,dma_commands,remote_input_vectors,remote_output_vectors,runtime_seconds
8,1,109,90,19,0.5666666666666667,0.035416666666666666,0.0,0.0,0.03333333333333333,0.03333333333333333,0.11009174311926606,76.0310160113906,True,202,0.2849,1.853211009174312,0,0,0,0.013428449630737305
16,2,161,140,21,0.4857142857142857,0.060714285714285714,0.12857142857142856,0.02142857142857143,0.12857142857142856,0.17142857142857143,0.19875776397515527,70.69532193003565,True,420,0.212,2.608695652173913,2,2,0,0.013980865478515625
32,4,215,192,23,0.4427083333333333,0.11067708333333333,0.1875,0.03125,0.1875,0.23697916666666666,0.37209302325581395,67.09065499212552,True,694,0.172,3.227906976744186,8,8,0,0.01239156723022461
64,8,267,242,25,0.4214876033057851,0.21074380165289255,0.2231404958677686,0.0371900826446281,0.2190082644628099,0.27479338842975204,0.7191011235955056,64.3831836929131,True,1091,0.136,4.086142322097379,24,24,0,0.024664640426635742
128,8,441,414,27,0.5748792270531401,0.28743961352657005,0.34782608695652173,0.057971014492753624,0.2391304347826087,0.22041062801932368,1.0158730158730158,60.891800033268,True,2286,0.157,5.183673469387755,48,48,0,0.03590559959411621
256,8,792,763,29,0.7129750982961992,0.3564875491480996,0.47182175622542594,0.07863695937090433,0.25884665792922673,0.16120576671035386,1.292929292929293,58.50459783584438,True,4934,0.171,6.22979797979798,96,96,0,0.0763092041015625
512,8,1534,1503,31,0.8143712574850299,0.40718562874251496,0.5748502994011976,0.09580838323353294,0.282435129740519,0.11377245508982035,1.5019556714471969,55.13174812947089,True,10756,0.18,7.011734028683181,192,192,0,0.18315672874450684
1024,8,3128,3095,33,0.8788368336025848,0.4394184168012924,0.6513731825525041,0.108562197092084,0.2903069466882068,0.08239095315024232,1.6368286445012787,51.90316247550858,True,23493,0.187,7.510549872122762,384,384,0,0.29939723014831543
2048,8,6570,6535,35,0.9156847742922724,0.4578423871461362,0.7051262433052793,0.11752104055087988,0.2874521805661821,0.06411629686304514,1.7144596651445967,48.480996618204834,True,51184,0.19112176572703976,7.790563165905632,768,768,0,0.6413426399230957
